tab	locations
location	lat_n	lat_s	lon_e	lon_w	analysts	citations
Jasper Knob	46.5	46.5	272.3	272.3		This study
>>>>>>>>>>
tab	measurements
measurement	experiment	specimen	dir_csd	dir_dec	dir_inc	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_step_num	treat_temp	citations	instrument_codes	method_codes	quality	sequence	standard	meas_n_orient	meas_temp	analysts	description	software_packages	magn_moment	magn_x_sigma	magn_y_sigma	magn_z_sigma
jk.10a_LP-DIR-T-1	jk.10a_LP-DIR-T	jk.10a	4.1	310.6	-12.9	0	0	0	0	0	273	This study	hargrave 2024-02-20 15:10:40	LT-NO:LP-DIR-T	g	1	u	8	273			pmagpy-4.2.109	1.77e-06	1.1800000000000001e-07	4.6200000000000003e-08	3.78e-08
jk.10a_LP-DIR-T-2	jk.10a_LP-DIR-T	jk.10a	2.5	314.0	-14.8	0	0	0	0	1	373	This study	hargrave 2024-02-21 11:01:29	LT-T-Z:LP-DIR-T	g	2	u	8	273			pmagpy-4.2.109	1.75e-06	2.77e-08	6.63e-08	5.54e-08
jk.10a_LP-DIR-T-3	jk.10a_LP-DIR-T	jk.10a	1.8	316.2	-14.4	0	0	0	0	2	473	This study	hargrave 2024-02-21 18:21:33	LT-T-Z:LP-DIR-T	g	3	u	8	273			pmagpy-4.2.109	1.6e-06	2.97e-08	3.94e-08	3.64e-08
jk.10a_LP-DIR-T-4	jk.10a_LP-DIR-T	jk.10a	1.7	316.6	-14.1	0	0	0	0	3	573	This study	hargrave 2024-02-26 13:02:37	LT-T-Z:LP-DIR-T	g	4	u	8	273			pmagpy-4.2.109	1.3e-06	3.7999999999999996e-08	1.7e-08	2.7e-08
jk.10a_LP-DIR-T-6	jk.10a_LP-DIR-T	jk.10a	1.1	313.9	-12.8	0	0	0	0	5	673	This study	hargrave 2024-02-27 12:37:44	LT-T-Z:LP-DIR-T	g	6	u	8	273			pmagpy-4.2.109	9.54e-07	8.199999999999999e-09	4.53e-09	1.73e-08
jk.10a_LP-DIR-T-7	jk.10a_LP-DIR-T	jk.10a	1.3	316.7	-10.7	0	0	0	0	6	723	This study	hargrave 2024-02-28 09:26:01	LT-T-Z:LP-DIR-T	g	7	u	8	273			pmagpy-4.2.109	7.02e-07	2.2599999999999997e-08	1.4299999999999999e-08	1.3e-08
jk.10a_LP-DIR-T-8	jk.10a_LP-DIR-T	jk.10a	2.7	312.7	-3.7	0	0	0	0	7	773	This study	hargrave 2024-02-28 18:05:07	LT-T-Z:LP-DIR-T	b	8	u	8	273			pmagpy-4.2.109	4.93e-07	2.6e-08	5.01e-09	8.78e-09
jk.10a_LP-DIR-T-10	jk.10a_LP-DIR-T	jk.10a	0.9	312.3	-3.5	0	0	0	0	9	773	This study	hargrave 2024-02-29 08:39:30	LT-T-Z:LP-DIR-T	g	10	u	8	273			pmagpy-4.2.109	5.070000000000001e-07	5.02e-09	2.6899999999999996e-09	7.95e-09
jk.10a_LP-DIR-T-11	jk.10a_LP-DIR-T	jk.10a	1.4	305.9	3.8	0	0	0	0	10	798	This study	hargrave 2024-03-04 11:01:42	LT-T-Z:LP-DIR-T	g	11	u	8	273			pmagpy-4.2.109	3.6799999999999996e-07	4.85e-09	3.2899999999999996e-09	8.09e-09
jk.10a_LP-DIR-T-12	jk.10a_LP-DIR-T	jk.10a	1.2	304.0	10.7	0	0	0	0	11	813	This study	hargrave 2024-03-04 16:58:02	LT-T-Z:LP-DIR-T	g	12	u	8	273			pmagpy-4.2.109	3.19e-07	3.3600000000000004e-09	2.8100000000000004e-09	7.13e-09
jk.10a_LP-DIR-T-13	jk.10a_LP-DIR-T	jk.10a	1.2	301.4	16.6	0	0	0	0	12	823	This study	hargrave 2024-03-05 11:08:18	LT-T-Z:LP-DIR-T	g	13	u	8	273			pmagpy-4.2.109	2.67e-07	1.22e-09	3.3100000000000004e-09	5.61e-09
jk.10a_LP-DIR-T-14	jk.10a_LP-DIR-T	jk.10a	1.2	292.5	22.3	0	0	0	0	13	828	This study	hargrave 2024-03-05 16:05:24	LT-T-Z:LP-DIR-T	g	14	u	8	273			pmagpy-4.2.109	2.4199999999999997e-07	1.1e-09	3.5e-09	4.83e-09
jk.10a_LP-DIR-T-15	jk.10a_LP-DIR-T	jk.10a	1.5	293.7	30.6	0	0	0	0	14	833	This study	hargrave 2024-03-06 14:31:30	LT-T-Z:LP-DIR-T	g	15	u	8	273			pmagpy-4.2.109	2.33e-07	5.420000000000001e-09	4.7e-09	5.74e-09
jk.10a_LP-DIR-T-16	jk.10a_LP-DIR-T	jk.10a	1.8	259.2	54.0	0	0	0	0	15	838	This study	hargrave 2024-03-11 09:52:38	LT-T-Z:LP-DIR-T	g	16	u	8	273			pmagpy-4.2.109	2.17e-07	5.27e-09	5.27e-09	2.6600000000000003e-09
jk.10a_LP-DIR-T-17	jk.10a_LP-DIR-T	jk.10a	1.4	255.6	50.4	0	0	0	0	16	843	This study	hargrave 2024-03-11 15:23:40	LT-T-Z:LP-DIR-T	g	17	u	8	273			pmagpy-4.2.109	2.0199999999999998e-07	3.84e-09	4.6100000000000004e-09	2.45e-09
jk.10a_LP-DIR-T-19	jk.10a_LP-DIR-T	jk.10a	1.8	250.6	56.2	0	0	0	0	18	848	This study	hargrave 2024-03-12 10:30:16	LT-T-Z:LP-DIR-T	g	19	u	8	273			pmagpy-4.2.109	2.0199999999999998e-07	4.39e-09	5.479999999999999e-09	1.8100000000000002e-09
jk.10a_LP-DIR-T-20	jk.10a_LP-DIR-T	jk.10a	2.3	244.6	54.9	0	0	0	0	19	853	This study	hargrave 2024-03-12 14:12:56	LT-T-Z:LP-DIR-T	g	20	u	8	273			pmagpy-4.2.109	1.9e-07	5.91e-09	6.1199999999999995e-09	1.54e-09
jk.10a_LP-DIR-T-21	jk.10a_LP-DIR-T	jk.10a	1.7	257.1	56.0	0	0	0	0	20	873	This study	hargrave 2024-03-12 19:21:24	LT-T-Z:LP-DIR-T	g	21	u	8	273			pmagpy-4.2.109	1.83e-07	4.120000000000001e-09	4.35e-09	2.2399999999999997e-09
jk.10a_LP-DIR-T-22	jk.10a_LP-DIR-T	jk.10a	1.6	253.4	50.4	0	0	0	0	21	893	This study	hargrave 2024-03-13 14:17:03	LT-T-Z:LP-DIR-T	g	22	u	8	273			pmagpy-4.2.109	1.8600000000000002e-07	4.04e-09	4e-09	2.1600000000000004e-09
