,Fe57_mean,Fe57_2SE,Pb204_mean,Pb204_2SE,Pb206_mean,Pb206_2SE,Pb207_mean,Pb207_2SE,Pb208_mean,Pb208_2SE,Th232_mean,Th232_2SE,U238_mean,U238_2SE,TotalBeam_mean,TotalBeam_2SE,BeamSeconds_mean,BeamSeconds_2SE,Mask_mean,Mask_2SE,Fe57_CPS_mean,Fe57_CPS_2SE,Pb204_CPS_mean,Pb204_CPS_2SE,Pb206_CPS_mean,Pb206_CPS_2SE,Pb207_CPS_mean,Pb207_CPS_2SE,Pb208_CPS_mean,Pb208_CPS_2SE,Th232_CPS_mean,Th232_CPS_2SE,U238_CPS_mean,U238_CPS_2SE,TotalBeam_CPS_mean,TotalBeam_CPS_2SE,Pb206/U238_mean,Pb206/U238_2SE,Pb206/U238 age_mean,Pb206/U238 age_2SE,Pb207/U235_mean,Pb207/U235_2SE,Pb207/U235 age_mean,Pb207/U235 age_2SE,Pb208/Th232_mean,Pb208/Th232_2SE,Pb208/Th232 age_mean,Pb208/Th232 age_2SE,DC Pb206/U238_mean,DC Pb206/U238_2SE,DC Pb206/U238_prop2SE,DC Pb206/U238 age_mean,DC Pb206/U238 age_2SE,DC Pb207/U235_mean,DC Pb207/U235_2SE,DC Pb207/U235_prop2SE,DC Pb207/U235 age_mean,DC Pb207/U235 age_2SE,DC Pb208/Th232_mean,DC Pb208/Th232_2SE,DC Pb208/Th232 age_mean,DC Pb208/Th232 age_2SE,DC Pb207/Pb206_mean,DC Pb207/Pb206_2SE,DC Pb207/Pb206_prop2SE,DC Pb207/Pb206 age_mean,DC Pb207/Pb206 age_2SE,DC U238/Pb206_mean,DC U238/Pb206_2SE,Raw U/Th_mean,Raw U/Th_2SE,Final Pb206/U238_mean,Final Pb206/U238_2SE,Final Pb206/U238_prop2SE,Final Pb206/U238 age_mean,Final Pb206/U238 age_2SE,Final Pb206/U238 age_prop2SE,Final Pb207/U235_mean,Final Pb207/U235_2SE,Final Pb207/U235_prop2SE,Final Pb207/U235 age_mean,Final Pb207/U235 age_2SE,Final Pb207/U235 age_prop2SE,Final Pb207/Pb206_mean,Final Pb207/Pb206_2SE,Final Pb207/Pb206_prop2SE,Final Pb207/Pb206 age_mean,Final Pb207/Pb206 age_2SE,Final Pb207/Pb206 age_prop2SE,Final U238/Pb206_mean,Final U238/Pb206_2SE,Final U238/Pb206_prop2SE,rho 207Pb/206Pb v 238U/206Pb,rho 206Pb/238U v 207Pb/235U
JK25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JK25,2.78E+07,772969,4468.84,74.7216,451.282,30.9814,299.519,23.7981,696.387,61.9272,0,0,731.858,70.7646,2.78E+07,773041,19.8323,1.58256,1,0,2.78E+07,772971,-73.2046,74.601,443.155,31.001,292.49,23.7855,684.156,61.9344,-2.52627,0.00766413,729.651,70.729,2.78E+07,773042,0.723439,0.065332,3338.35,225.729,66.3646,7.10238,4083.05,102.408,-259.333,26.6019,32924.6,4858.19,1.72187,0.148586,0.15758,6127.39,345.506,54.0376,5.67158,5.89523,3863.83,107.212,-259.333,26.6019,32924.6,4858.19,0.666336,0.0456845,0.0457024,4376.65,78.1664,0.748451,0.0772134,-273.896,30.3116,0.67503,0.0582506,0.0617767,3177.75,211.294,224.085,63.0144,6.61375,6.87455,4029.66,104.737,108.867,0.673247,0.0461583,0.0461764,4386.79,78.0916,78.1222,1.90623,0.196655,0.208559,0.170405,0.543647
JK25,2.86E+07,811630,4522.29,68.0612,457.424,21.0566,127.012,12.6119,248.003,34.3103,11.9318,4.84612,3039.25,108.786,2.87E+07,811683,21.105,1.64756,1,0,2.86E+07,811634,48.0735,68.1343,448.951,21.0495,120.716,12.6092,235.891,34.3046,9.11226,4.84602,3037.83,108.788,2.86E+07,811687,0.147104,0.00895858,864.562,40.3867,5.91337,0.801902,1787.58,97.1293,-71.8756,11.9163,25234.1,3596.48,0.342369,0.0201675,0.0227068,1869.44,88.2537,4.82786,0.70028,0.714871,1599.37,93.1637,-71.8756,11.9163,25234.1,3596.48,0.28315,0.0278821,0.0278874,3077.28,135.833,3.12358,0.169536,-930.605,69.5946,0.134213,0.00790606,0.00890153,805.321,42.6945,48.0703,5.62956,0.816574,0.833589,1719,96.1938,98.1982,0.286092,0.0281718,0.0281771,3082.38,134.457,134.483,7.956,0.431826,0.486199,-0.0219987,0.884922
JK25,2.97E+07,1.00E+06,4476.32,67.1142,689.167,62.3937,378.782,62.3659,833.586,155.557,70.1162,28.0955,2661.87,115.96,2.97E+07,1.00E+06,21.105,1.64756,1,0,2.97E+07,1.00E+06,22.9944,67.2211,682.328,62.3652,373.381,62.3486,821.534,155.567,67.575,28.0939,2659.51,115.946,2.97E+07,1.00E+06,0.251408,0.020046,1412.31,95.7699,19.4008,3.37108,2703.71,119.29,-202.106,48.9513,27810,5444.81,0.614251,0.05959,0.0624613,2958.3,211.309,16.8187,3.30305,3.34077,2504.21,125.928,-202.106,48.9513,27810,5444.81,0.456915,0.0318129,0.0318249,3864.4,116.947,2.05994,0.14557,-634.994,79.4175,0.240769,0.0233584,0.0244839,1345.82,110.198,115.508,19.6093,3.8512,3.89518,2643.56,127.498,128.954,0.461674,0.0321441,0.0321563,3880.15,116.808,116.852,5.24756,0.370835,0.388704,0.0486397,0.409528
JK25,3.14E+07,1.08E+06,4525.37,71.515,680.819,33.0935,508.746,22.3222,1156.06,66.8814,11.7318,4.79725,860.375,89.525,3.15E+07,1.08E+06,20.9995,1.65215,1,0,3.14E+07,1.08E+06,72.3356,71.5516,674.573,33.1011,503.147,22.344,1142.97,66.8892,10.1135,4.79727,858.62,89.5364,3.15E+07,1.08E+06,1.12769,0.0925006,4731.07,291.366,122.393,10.6439,4740.23,95.5161,-624.975,52.4382,50332.5,4931.36,2.62531,0.199956,0.21537,8020.32,370.062,97.2116,7.99403,8.50156,4518.11,85.7141,-624.975,52.4382,50332.5,4931.36,0.773057,0.0334839,0.0335168,4606.63,45.9819,0.477548,0.0379775,-431.47,49.9357,1.02885,0.0783604,0.0844007,4464.12,258.616,278.551,113.314,9.31791,9.90949,4671.77,85.8772,91.3295,0.78113,0.0338337,0.0338668,4615.12,45.7869,45.8318,1.21675,0.0967593,0.104218,0.120231,0.846143
JK25,2.76E+07,859169,4511.95,60.204,711.259,49.3691,345.234,35.3196,779.811,87.8112,103.372,20.594,2989.39,162.663,2.76E+07,859198,20.8935,1.6476,1,0,2.76E+07,859165,77.879,60.1704,704.596,49.3699,338.709,35.3265,765.751,87.8032,102.965,20.6076,2986.93,162.669,2.76E+07,859195,0.262076,0.0217846,1460.7,105.069,19.2586,2.47021,2708.44,136.873,-488.014,131.183,37343.3,2878.26,0.605492,0.0465198,0.0500461,2945.41,170.242,14.3089,1.71173,1.76392,2505.04,125.707,-488.014,131.183,37343.3,2878.26,0.472394,0.0388876,0.0388982,3752.83,145.135,2.01383,0.13726,-3327.69,521.217,0.237233,0.0182262,0.0196077,1343.37,89.5937,96.3851,16.674,1.99459,2.05541,2643.21,127.649,131.541,0.477345,0.0392954,0.0393061,3768.86,144.941,144.98,5.13244,0.349809,0.376325,-0.3235,0.473603
JK25,2.94E+07,933120,4530.39,65.0427,450.98,37.5522,369.087,35.9527,804.581,83.4693,7.82123,4.3137,425.176,26.2656,2.94E+07,933243,21.1056,1.6476,1,0,2.94E+07,933133,68.1767,65.0785,444.323,37.5562,363.698,35.9296,789.808,83.4794,7.75659,4.31419,422.693,26.2652,2.94E+07,933257,1.31824,0.175369,4855.15,372.688,141.53,18.4064,4751.83,126.647,-6440.76,46918.8,179164,31516.6,3.3221,0.50762,0.517618,8188.5,548.961,119.971,17.4574,17.8189,4529.76,136.838,-6440.76,46918.8,179164,31516.6,0.825002,0.050311,0.0503359,4489.77,84.0566,0.529149,0.0552261,-8780.09,16414.7,1.30125,0.198844,0.202761,4630.63,394.446,402.215,139.757,20.3377,20.7588,4682.27,137.153,139.992,0.83368,0.0508401,0.0508653,4494.72,84.4492,84.491,1.34909,0.140807,0.14358,0.0927496,0.945851
JK25,2.87E+07,892770,4538.29,75.607,1254.06,54.2151,1085.3,48.6168,2522.49,128.384,10.056,8.5235,75.9329,19.9914,2.87E+07,892946,21.1056,1.6476,1,0,2.87E+07,892762,107.915,75.655,1246.69,54.2376,1080.34,48.6309,2507.34,128.387,9.32036,8.52254,73.9216,19.989,2.87E+07,892938,-4.63961,18.086,20688.5,702.848,-1651.5,2466.5,8114.18,102.06,-3380.55,285.147,57293.7,11415.3,-9.26863,40.5142,40.5152,26297,656.229,-1449.07,1937.39,1937.87,7882.15,105.149,-3380.55,285.147,57293.7,11415.3,0.877385,0.0241081,0.0241668,4787.61,36.3912,0.0230887,0.00588917,-103.638,30.5475,-3.62691,15.8618,15.8622,20268.8,681.589,681.605,-1686.83,2255.63,2256.19,8036.57,105.159,105.186,0.886657,0.0243629,0.0244222,4784.89,36.5572,36.6462,0.0588884,0.0150202,0.0150206,0.0118166,0.972235
JK25,2.75E+07,847148,4478.98,66.7641,1982.54,52.2277,1610.99,46.0422,3593.81,119.443,34.8315,8.26465,1361.88,125.815,2.75E+07,847282,21.1056,1.6476,1,0,2.75E+07,847149,130.395,66.8246,1974.31,52.2302,1604.89,46.0483,3578.68,119.442,33.3883,8.26395,1358.64,125.869,2.75E+07,847281,2.12397,0.190104,6875.54,383.883,243.291,23.4898,5395.8,104.912,-1658.25,187.445,71422.6,1722.58,4.76659,0.367495,0.395165,10767.4,408.339,184.856,15.5143,16.4611,5171.81,90.0881,-1658.25,187.445,71422.6,1722.58,0.822648,0.0186197,0.0186865,4816.28,27.7667,0.271189,0.0209243,-689.006,110.109,1.8654,0.143802,0.154629,6474.54,316.65,340.492,215.109,18.051,19.1526,5324.71,90.1595,95.6616,0.831387,0.0188178,0.0188853,4819.14,28.106,28.2068,0.692001,0.0533863,0.057406,-0.184175,0.949376
JK25,2.81E+07,938080,4534.95,71.9558,922.287,65.5718,626.725,62.1914,1304.59,132.298,20.8092,6.06901,2173.26,63.8138,2.81E+07,938298,21.105,1.64756,1,0,2.81E+07,938074,165.935,70.2486,914.342,65.5556,619.671,62.2019,1289.8,132.29,18.7096,6.07164,2170.59,63.8414,2.81E+07,938295,0.438471,0.0392127,2288.7,171.222,43.0296,5.13231,3542.13,127.816,-419.75,65.9255,52877.6,3611.23,1.09579,0.116176,0.12088,4544.17,342.391,37.2101,4.92887,5.05178,3332.12,139.99,-419.75,65.9255,52877.6,3611.23,0.616413,0.0318091,0.0318311,4384.94,77.453,1.3604,0.13215,-773.402,71.4079,0.428646,0.0454501,0.0472906,2219,194.955,202.85,43.2771,5.73305,5.876,3477.3,141.036,144.553,0.622999,0.0321486,0.0321708,4392.76,77.598,77.6516,3.47369,0.337473,0.35114,-0.115474,0.738955
