tab	measurements
measurement	experiment	specimen	dir_csd	dir_dec	dir_inc	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_step_num	treat_temp	citations	instrument_codes	method_codes	quality	sequence	standard	meas_n_orient	meas_temp	analysts	description	software_packages	magn_moment	magn_x_sigma	magn_y_sigma	magn_z_sigma	sample	site	location
NF.10-1_LP-DIR-T-1	NF.10-1_LP-DIR-T	NF.10-1	2.4	183.4	67.1	0	0	0.0	0.0	0	273.0	This study	hargrave 2024-02-20 16:45:41	LT-NO:LP-DIR-T	g	1	u	8	273			pmagpy-4.2.109	3.53e-06	1.32e-07	9.7e-08	9.62e-08	NF.10-1	NF	Negaunee
NF.10-1_LP-DIR-T-2	NF.10-1_LP-DIR-T	NF.10-1	3.1	188.3	63.8	0	0	0.0	0.0	1	373.0	This study	hargrave 2024-02-21 12:09:50	LT-T-Z:LP-DIR-T	g	2	u	8	273			pmagpy-4.2.109	3.22e-06	1.07e-07	1.36e-07	1.09e-07	NF.10-1	NF	Negaunee
NF.10-1_LP-DIR-T-3	NF.10-1_LP-DIR-T	NF.10-1	2.1	201.5	59.3	0	0	0.0	0.0	2	473.0	This study	hargrave 2024-02-21 19:46:34	LT-T-Z:LP-DIR-T	g	3	u	8	273			pmagpy-4.2.109	2.95e-06	9.73e-08	7.12e-08	8.6e-08	NF.10-1	NF	Negaunee
NF.10-1_LP-DIR-T-4	NF.10-1_LP-DIR-T	NF.10-1	3.5	204.8	53.3	0	0	0.0	0.0	3	573.0	This study	hargrave 2024-02-26 14:25:33	LT-T-Z:LP-DIR-T	g	4	u	8	273			pmagpy-4.2.109	2.59e-06	9.97e-08	7e-08	1.25e-07	NF.10-1	NF	Negaunee
NF.10-1_LP-DIR-T-6	NF.10-1_LP-DIR-T	NF.10-1	1.4	212.5	48.9	0	0	0.0	0.0	5	673.0	This study	hargrave 2024-02-27 13:40:34	LT-T-Z:LP-DIR-T	g	6	u	8	273			pmagpy-4.2.109	2.35e-06	3.85e-08	2.95e-08	2.82e-08	NF.10-1	NF	Negaunee
NF.10-1_LP-DIR-T-7	NF.10-1_LP-DIR-T	NF.10-1	3.9	213.0	44.4	0	0	0.0	0.0	6	723.0	This study	hargrave 2024-02-28 11:02:37	LT-T-Z:LP-DIR-T	g	7	u	8	273			pmagpy-4.2.109	2.13e-06	8.94e-08	4.51e-08	1.15e-07	NF.10-1	NF	Negaunee
NF.10-1_LP-DIR-T-8	NF.10-1_LP-DIR-T	NF.10-1	1.9	220.0	42.1	0	0	0.0	0.0	7	773.0	This study	hargrave 2024-02-28 21:22:20	LT-T-Z:LP-DIR-T	g	8	u	8	273			pmagpy-4.2.109	2e-06	5.32e-08	3.58e-08	4.07e-08	NF.10-1	NF	Negaunee
NF.10-1_LP-DIR-T-9	NF.10-1_LP-DIR-T	NF.10-1	2.5	223.6	40.0	0	0	0.0	0.0	8	798.0	This study	hargrave 2024-03-04 12:31:20	LT-T-Z:LP-DIR-T	g	9	u	8	273			pmagpy-4.2.109	1.82e-06	6.47e-08	4.67e-08	2.9e-08	NF.10-1	NF	Negaunee
NF.10-1_LP-DIR-T-10	NF.10-1_LP-DIR-T	NF.10-1	2.4	221.1	38.6	0	0	0.0	0.0	9	813.0	This study	hargrave 2024-03-04 18:27:43	LT-T-Z:LP-DIR-T	g	10	u	8	273			pmagpy-4.2.109	1.68e-06	5.83e-08	4.05e-08	2.96e-08	NF.10-1	NF	Negaunee
NF.10-1_LP-DIR-T-11	NF.10-1_LP-DIR-T	NF.10-1	2.4	223.3	38.1	0	0	0.0	0.0	10	823.0	This study	hargrave 2024-03-05 12:40:23	LT-T-Z:LP-DIR-T	g	11	u	8	273			pmagpy-4.2.109	1.69e-06	5.71e-08	3.97e-08	2.85e-08	NF.10-1	NF	Negaunee
NF.10-1_LP-DIR-T-12	NF.10-1_LP-DIR-T	NF.10-1	2.7	224.8	29.4	0	0	0.0	0.0	11	828.0	This study	hargrave 2024-03-05 17:55:52	LT-T-Z:LP-DIR-T	b	12	u	8	273			pmagpy-4.2.109	1.63e-06	5.98e-08	3.97e-08	3.94e-08	NF.10-1	NF	Negaunee
NF.10-1_LP-DIR-T-13	NF.10-1_LP-DIR-T	NF.10-1	6.2	221.5	36.2	0	0	0.0	0.0	12	833.0	This study	hargrave 2024-03-06 15:46:03	LT-T-Z:LP-DIR-T	g	13	u	8	273			pmagpy-4.2.109	1.64e-06	1.27e-07	1.08e-07	6.99e-08	NF.10-1	NF	Negaunee
NF.10-1_LP-DIR-T-15	NF.10-1_LP-DIR-T	NF.10-1	2.4	226.0	36.3	0	0	0.0	0.0	14	838.0	This study	hargrave 2024-03-11 11:37:26	LT-T-Z:LP-DIR-T	b	15	u	8	273			pmagpy-4.2.109	1.58e-06	4.94e-08	3.79e-08	3.28e-08	NF.10-1	NF	Negaunee
NF.10-1_LP-DIR-T-16	NF.10-1_LP-DIR-T	NF.10-1	1.9	219.7	36.1	0	0	0.0	0.0	15	843.0	This study	hargrave 2024-03-11 16:41:14	LT-T-Z:LP-DIR-T	g	16	u	8	273			pmagpy-4.2.109	1.61e-06	4.55e-08	2.93e-08	2.17e-08	NF.10-1	NF	Negaunee
NF.10-1_LP-DIR-T-17	NF.10-1_LP-DIR-T	NF.10-1	2.6	214.6	26.1	0	0	0.0	0.0	16	848.0	This study	hargrave 2024-03-12 10:18:14	LT-T-Z:LP-DIR-T	b	17	u	8	273			pmagpy-4.2.109	1.33e-06	4.2e-08	3.13e-08	3.79e-08	NF.10-1	NF	Negaunee
NF.10-1_LP-DIR-T-19	NF.10-1_LP-DIR-T	NF.10-1	2.0	225.6	31.4	0	0	0.0	0.0	18	853.0	This study	hargrave 2024-03-12 16:11:22	LT-T-Z:LP-DIR-T	g	19	u	8	273			pmagpy-4.2.109	1.33e-06	3.32e-08	2.48e-08	2.67e-08	NF.10-1	NF	Negaunee
NF.10-1_LP-DIR-T-20	NF.10-1_LP-DIR-T	NF.10-1	2.8	228.4	31.5	0	0	0.0	0.0	19	873.0	This study	hargrave 2024-03-13 10:13:31	LT-T-Z:LP-DIR-T	g	20	u	8	273			pmagpy-4.2.109	1.22e-06	3.88e-08	2.72e-08	3.86e-08	NF.10-1	NF	Negaunee
NF.10-1_LP-DIR-T-21	NF.10-1_LP-DIR-T	NF.10-1	2.7	234.9	29.6	0	0	0.0	0.0	20	893.0	This study	hargrave 2024-03-13 15:45:03	LT-T-Z:LP-DIR-T	b	21	u	8	273			pmagpy-4.2.109	1.34e-06	4.89e-08	3.07e-08	3.46e-08	NF.10-1	NF	Negaunee
NF.10-1_LP-DIR-T-22	NF.10-1_LP-DIR-T	NF.10-1	2.8	226.5	32.5	0	0	0.0	0.0	21	903.0	This study	hargrave 2024-03-14 12:02:12	LT-T-Z:LP-DIR-T	g	22	u	8	273			pmagpy-4.2.109	1.2e-06	4.45e-08	2.98e-08	3.24e-08	NF.10-1	NF	Negaunee
NF.10-1_LP-DIR-T-23	NF.10-1_LP-DIR-T	NF.10-1	2.7	223.8	29.2	0	0	0.0	0.0	22	913.0	This study	hargrave 2024-03-14 16:06:59	LT-T-Z:LP-DIR-T	g	23	u	8	273			pmagpy-4.2.109	1.18e-06	4.25e-08	2.73e-08	3.22e-08	NF.10-1	NF	Negaunee
NF.10-1_LP-DIR-T-24	NF.10-1_LP-DIR-T	NF.10-1	2.9	226.8	29.2	0	0	0.0	0.0	23	923.0	This study	hargrave 2024-03-15 10:23:44	LT-T-Z:LP-DIR-T	g	24	u	8	273			pmagpy-4.2.109	1.17e-06	4.67e-08	2.92e-08	3.14e-08	NF.10-1	NF	Negaunee
NF.10-1_LP-DIR-T-25	NF.10-1_LP-DIR-T	NF.10-1	2.3	227.5	32.1	0	0	0.0	0.0	24	933.0	This study	hargrave 2024-03-15 15:25:53	LT-T-Z:LP-DIR-T	g	25	u	8	273			pmagpy-4.2.109	1.12e-06	3.09e-08	2.59e-08	2.55e-08	NF.10-1	NF	Negaunee
NF.10-1_LP-DIR-T-26	NF.10-1_LP-DIR-T	NF.10-1	2.7	230.7	29.7	0	0	0.0	0.0	25	938.0	This study	hargrave 2024-03-18 10:57:23	LT-T-Z:LP-DIR-T	g	26	u	8	273			pmagpy-4.2.109	1.02e-06	3.63e-08	2.69e-08	2.43e-08	NF.10-1	NF	Negaunee
NF.10-1_LP-DIR-T-27	NF.10-1_LP-DIR-T	NF.10-1	2.1	228.5	26.9	0	0	0.0	0.0	26	943.0	This study	hargrave 2024-03-18 16:24:39	LT-T-Z:LP-DIR-T	g	27	u	8	273			pmagpy-4.2.109	1.03e-06	2.77e-08	1.72e-08	2.24e-08	NF.10-1	NF	Negaunee
NF.10-1_LP-DIR-T-28	NF.10-1_LP-DIR-T	NF.10-1	2.6	227.8	28.1	0	0	0.0	0.0	27	945.0	This study	hargrave 2024-03-18 20:40:55	LT-T-Z:LP-DIR-T	g	28	u	8	273			pmagpy-4.2.109	4.62e-07	1.54e-08	1.13e-08	1.18e-08	NF.10-1	NF	Negaunee
NF.10-1_LP-DIR-T-29	NF.10-1_LP-DIR-T	NF.10-1	2.5	242.0	27.8	0	0	0.0	0.0	28	947.0	This study	hargrave 2024-03-19 13:08:08	LT-T-Z:LP-DIR-T	g	29	u	8	273			pmagpy-4.2.109	3.21e-07	1.07e-08	8.02e-09	6.41e-09	NF.10-1	NF	Negaunee
NF.10-1_LP-DIR-T-30	NF.10-1_LP-DIR-T	NF.10-1	2.8	238.1	29.4	0	0	0.0	0.0	29	949.0	This study	hargrave 2024-03-19 16:49:19	LT-T-Z:LP-DIR-T	g	30	u	8	273			pmagpy-4.2.109	2.74e-07	1.09e-08	8.43e-09	5.68e-09	NF.10-1	NF	Negaunee
NF.10-1_LP-DIR-T-31	NF.10-1_LP-DIR-T	NF.10-1	2.1	239.1	39.2	0	0	0.0	0.0	30	951.0	This study	hargrave 2024-03-20 11:17:09	LT-T-Z:LP-DIR-T	g	31	u	8	273			pmagpy-4.2.109	2.53e-07	7.15e-09	6.75e-09	3.25e-09	NF.10-1	NF	Negaunee
NF.10-1_LP-DIR-T-32	NF.10-1_LP-DIR-T	NF.10-1	2.7	224.1	33.8	0	0	0.0	0.0	31	953.0	This study	hargrave 2024-03-20 15:37:58	LT-T-Z:LP-DIR-T	g	32	u	8	273			pmagpy-4.2.109	2.82e-07	9.42e-09	8.64e-09	6.39e-09	NF.10-1	NF	Negaunee
NF.10-1_LP-DIR-T-33	NF.10-1_LP-DIR-T	NF.10-1	2.9	118.2	18.1	0	0	0.0	0.0	32	955.0	This study	hargrave 2024-03-21 09:25:34	LT-T-Z:LP-DIR-T	b	33	u	8	273			pmagpy-4.2.109	2.87e-10	9.6e-12	5.66e-12	9.75e-12	NF.10-1	NF	Negaunee
NF.10-1_LP-DIR-T-34	NF.10-1_LP-DIR-T	NF.10-1	3.3	96.8	26.8	0	0	0.0	0.0	33	957.0	This study	hargrave 2024-03-21 12:36:20	LT-T-Z:LP-DIR-T	g	34	u	8	273			pmagpy-4.2.109	8.43e-08	3.74e-09	3.56e-09	1.57e-09	NF.10-1	NF	Negaunee
NF.10-1_LP-DIR-T-35	NF.10-1_LP-DIR-T	NF.10-1	3.5	63.8	44.4	0	0	0.0	0.0	34	959.0	This study	hargrave 2024-03-21 15:44:00	LT-T-Z:LP-DIR-T	g	35	u	8	273			pmagpy-4.2.109	8.4e-08	2.99e-09	3.11e-09	3.03e-09	NF.10-1	NF	Negaunee
NF.10-2_LP-DIR-T-36	NF.10-2_LP-DIR-T	NF.10-2	3.1	222.2	74.3	0	0	0.0	0.0	0	273.0	This study	hargrave 2024-02-20 16:47:10	LT-NO:LP-DIR-T	g	36	u	8	273			pmagpy-4.2.109	5.03e-06	2.14e-07	1.66e-07	1.12e-07	NF.10-2	NF	Negaunee
NF.10-2_LP-DIR-T-37	NF.10-2_LP-DIR-T	NF.10-2	2.2	229.4	72.1	0	0	0.0	0.0	1	373.0	This study	hargrave 2024-02-21 12:11:23	LT-T-Z:LP-DIR-T	g	37	u	8	273			pmagpy-4.2.109	4.51e-06	1.39e-07	9.68e-08	8.81e-08	NF.10-2	NF	Negaunee
NF.10-2_LP-DIR-T-38	NF.10-2_LP-DIR-T	NF.10-2	2.3	229.8	68.7	0	0	0.0	0.0	2	473.0	This study	hargrave 2024-02-21 19:48:21	LT-T-Z:LP-DIR-T	g	38	u	8	273			pmagpy-4.2.109	3.83e-06	1.31e-07	9.12e-08	5.89e-08	NF.10-2	NF	Negaunee
NF.10-2_LP-DIR-T-39	NF.10-2_LP-DIR-T	NF.10-2	2.9	231.0	65.7	0	0	0.0	0.0	3	573.0	This study	hargrave 2024-02-26 14:27:20	LT-T-Z:LP-DIR-T	g	39	u	8	273			pmagpy-4.2.109	3.18e-06	1.15e-07	9.11e-08	8.26e-08	NF.10-2	NF	Negaunee
NF.10-2_LP-DIR-T-41	NF.10-2_LP-DIR-T	NF.10-2	1.9	239.4	63.0	0	0	0.0	0.0	5	673.0	This study	hargrave 2024-02-27 13:42:08	LT-T-Z:LP-DIR-T	g	41	u	8	273			pmagpy-4.2.109	2.44e-06	5.88e-08	5.1e-08	3.39e-08	NF.10-2	NF	Negaunee
NF.10-2_LP-DIR-T-42	NF.10-2_LP-DIR-T	NF.10-2	2.4	238.5	58.9	0	0	0.0	0.0	6	723.0	This study	hargrave 2024-02-28 11:04:08	LT-T-Z:LP-DIR-T	g	42	u	8	273			pmagpy-4.2.109	2.11e-06	6.18e-08	5.48e-08	3.8e-08	NF.10-2	NF	Negaunee
NF.10-2_LP-DIR-T-43	NF.10-2_LP-DIR-T	NF.10-2	2.9	233.8	56.8	0	0	0.0	0.0	7	773.0	This study	hargrave 2024-02-28 21:24:07	LT-T-Z:LP-DIR-T	g	43	u	8	273			pmagpy-4.2.109	1.9e-06	8.6e-08	4.46e-08	2.39e-08	NF.10-2	NF	Negaunee
NF.10-2_LP-DIR-T-44	NF.10-2_LP-DIR-T	NF.10-2	2.6	236.9	52.2	0	0	0.0	0.0	8	798.0	This study	hargrave 2024-03-04 12:33:09	LT-T-Z:LP-DIR-T	g	44	u	8	273			pmagpy-4.2.109	1.72e-06	6.31e-08	4.83e-08	2.26e-08	NF.10-2	NF	Negaunee
NF.10-2_LP-DIR-T-45	NF.10-2_LP-DIR-T	NF.10-2	2.6	237.0	52.9	0	0	0.0	0.0	9	813.0	This study	hargrave 2024-03-04 18:29:30	LT-T-Z:LP-DIR-T	g	45	u	8	273			pmagpy-4.2.109	1.63e-06	6.04e-08	4.62e-08	1.85e-08	NF.10-2	NF	Negaunee
NF.10-2_LP-DIR-T-46	NF.10-2_LP-DIR-T	NF.10-2	2.5	242.1	53.4	0	0	0.0	0.0	10	823.0	This study	hargrave 2024-03-05 12:42:10	LT-T-Z:LP-DIR-T	g	46	u	8	273			pmagpy-4.2.109	1.53e-06	5.38e-08	4.1e-08	1.93e-08	NF.10-2	NF	Negaunee
NF.10-2_LP-DIR-T-47	NF.10-2_LP-DIR-T	NF.10-2	2.5	234.9	49.2	0	0	0.0	0.0	11	828.0	This study	hargrave 2024-03-05 17:57:25	LT-T-Z:LP-DIR-T	g	47	u	8	273			pmagpy-4.2.109	1.52e-06	5.77e-08	3.96e-08	1.26e-08	NF.10-2	NF	Negaunee
NF.10-2_LP-DIR-T-48	NF.10-2_LP-DIR-T	NF.10-2	3.6	239.6	50.6	0	0	0.0	0.0	12	833.0	This study	hargrave 2024-03-06 15:47:32	LT-T-Z:LP-DIR-T	g	48	u	8	273			pmagpy-4.2.109	1.5e-06	8.75e-08	2.77e-08	3.14e-08	NF.10-2	NF	Negaunee
NF.10-2_LP-DIR-T-49	NF.10-2_LP-DIR-T	NF.10-2	2.4	235.3	49.5	0	0	0.0	0.0	13	838.0	This study	hargrave 2024-03-11 11:20:19	LT-T-Z:LP-DIR-T	g	49	u	8	273			pmagpy-4.2.109	1.43e-06	4.84e-08	3.55e-08	1.52e-08	NF.10-2	NF	Negaunee
NF.10-2_LP-DIR-T-50	NF.10-2_LP-DIR-T	NF.10-2	2.4	233.4	45.9	0	0	0.0	0.0	14	843.0	This study	hargrave 2024-03-11 16:42:44	LT-T-Z:LP-DIR-T	g	50	u	8	273			pmagpy-4.2.109	1.38e-06	4.79e-08	3.7e-08	1.37e-08	NF.10-2	NF	Negaunee
NF.10-2_LP-DIR-T-51	NF.10-2_LP-DIR-T	NF.10-2	2.2	239.9	46.8	0	0	0.0	0.0	15	848.0	This study	hargrave 2024-03-12 10:19:43	LT-T-Z:LP-DIR-T	g	51	u	8	273			pmagpy-4.2.109	1.24e-06	3.67e-08	2.88e-08	1.68e-08	NF.10-2	NF	Negaunee
NF.10-2_LP-DIR-T-52	NF.10-2_LP-DIR-T	NF.10-2	2.2	243.9	42.2	0	0	0.0	0.0	16	853.0	This study	hargrave 2024-03-12 15:29:16	LT-T-Z:LP-DIR-T	g	52	u	8	273			pmagpy-4.2.109	1.21e-06	3.53e-08	3.01e-08	1.63e-08	NF.10-2	NF	Negaunee
NF.10-2_LP-DIR-T-53	NF.10-2_LP-DIR-T	NF.10-2	2.1	248.2	39.9	0	0	0.0	0.0	17	873.0	This study	hargrave 2024-03-13 10:15:04	LT-T-Z:LP-DIR-T	g	53	u	8	273			pmagpy-4.2.109	1.14e-06	3.49e-08	2.54e-08	1.33e-08	NF.10-2	NF	Negaunee
NF.10-2_LP-DIR-T-54	NF.10-2_LP-DIR-T	NF.10-2	2.3	251.8	42.2	0	0	0.0	0.0	18	893.0	This study	hargrave 2024-03-13 15:46:56	LT-T-Z:LP-DIR-T	g	54	u	8	273			pmagpy-4.2.109	1.07e-06	3.38e-08	2.39e-08	1.49e-08	NF.10-2	NF	Negaunee
NF.10-2_LP-DIR-T-55	NF.10-2_LP-DIR-T	NF.10-2	2.4	245.6	43.3	0	0	0.0	0.0	19	903.0	This study	hargrave 2024-03-14 12:03:42	LT-T-Z:LP-DIR-T	b	55	u	8	273			pmagpy-4.2.109	1.08e-06	3.47e-08	2.79e-08	1.53e-08	NF.10-2	NF	Negaunee
NF.10-2_LP-DIR-T-56	NF.10-2_LP-DIR-T	NF.10-2	2.4	246.1	43.1	0	0	0.0	0.0	20	913.0	This study	hargrave 2024-03-14 16:08:29	LT-T-Z:LP-DIR-T	b	56	u	8	273			pmagpy-4.2.109	1.11e-06	3.71e-08	3.07e-08	1.38e-08	NF.10-2	NF	Negaunee
NF.10-2_LP-DIR-T-57	NF.10-2_LP-DIR-T	NF.10-2	2.3	252.8	40.2	0	0	0.0	0.0	21	923.0	This study	hargrave 2024-03-15 10:25:14	LT-T-Z:LP-DIR-T	g	57	u	8	273			pmagpy-4.2.109	1.07e-06	3.33e-08	3.01e-08	1.34e-08	NF.10-2	NF	Negaunee
NF.10-2_LP-DIR-T-58	NF.10-2_LP-DIR-T	NF.10-2	2.2	239.5	43.2	0	0	0.0	0.0	22	933.0	This study	hargrave 2024-03-15 15:27:23	LT-T-Z:LP-DIR-T	g	58	u	8	273			pmagpy-4.2.109	9.77e-07	3.19e-08	2.32e-08	1.16e-08	NF.10-2	NF	Negaunee
